genoId,locId,replicate,blockNumber,rowNumber,colNumber,PlantHeight,GrainMoisture,GrainYield,Anthesisdate,DeNDVI0720,DeNDVI0807,DeNDVI0820,DeNDVI0910,DeNDRE0720,DeNDRE0807,DeNDRE0820,DeNDRE0910,DeSAVI0720,DeSAVI0807,DeSAVI0820,DeSAVI0910,DeEVI0720,DeEVI0807,DeEVI0820,DeEVI0910,DeRatio0720,DeRatio0807,DeRatio0820,DeRatio0910,ThrNDVI0720,ThrNDVI0807,ThrNDVI0820,ThrNDVI0910,ThrNDRE0720,ThrNDRE0807,ThrNDRE0820,ThrNDRE0910,ThrSAVI0720,ThrSAVI0807,ThrSAVI0820,ThrSAVI0910,ThrEVI0720,ThrEVI0807,ThrEVI0820,ThrEVI0910,ThrRatio0720,ThrRatio0807,ThrRatio0820,ThrRatio0910,PlantingDate,DTF,Est_Yield,Est_Moisture
1,NYH2,1,6,3,84,247,17.7,141.9968679,7/29/15,0.926122966,0.88011749,0.893086826,0.587863779,0.828110961,0.806516914,0.807207256,0.609457757,0.460944128,0.63464378,0.679255322,0.124769153,0.463622395,0.693307939,0.762546215,0.109432928,26.07201254,15.68300065,17.70676848,3.85276445,0.961048643,0.885285224,0.925311917,0.584092764,0.868824025,0.809678282,0.823095865,0.629806801,0.449698794,0.62540935,0.67851039,0.104400012,0.439659925,0.680659294,0.756321549,0.088107182,50.34609293,16.43454572,25.77803369,3.808764617,5/7/15,83,148.18,19.563
1,NYH2,2,2,6,54,232,21.6,150.9392662,8/2/15,0.894483022,0.875574577,0.87616658,0.723960113,0.787688104,0.798632672,0.793266956,0.676629793,0.439948508,0.60908524,0.658721161,0.461452928,0.441842682,0.660581475,0.73380453,0.467570938,17.95429572,15.07388549,15.15072895,6.245329737,0.888391513,0.879677297,0.897518674,0.723954675,0.799554007,0.799846438,0.797505114,0.676626364,0.401358492,0.597841305,0.649223399,0.461450298,0.388888135,0.646098085,0.715186358,0.467561852,16.9197842,15.62196708,18.51575064,6.245186997,5/7/15,87,144.76,19.737
2,NYH2,2,1,6,92,260,17.2,111.5001337,7/28/15,0.911068784,0.837176844,0.858898337,0.599925706,0.799800274,0.763207919,0.773123253,0.593012895,0.507041252,0.64768846,0.675942714,0.109162077,0.524871916,0.717992462,0.762294218,0.095381116,21.48929111,11.2832652,13.17417743,3.999071495,0.916216873,0.836592423,0.864202107,0.603048843,0.809258054,0.762053775,0.773463876,0.564767361,0.498515258,0.63718672,0.660869347,0.075010849,0.50755638,0.703137694,0.736368801,0.063750786,22.87115485,11.23933454,13.72776906,4.038403256,5/7/15,82,111.5,17.2
3,NYH2,1,9,5,53,234,23.1,136.7250612,7/29/15,0.909513634,0.864405183,0.879163445,0.67150324,0.799800501,0.767865676,0.781362407,0.635711516,0.453415171,0.598822093,0.664192523,0.424307545,0.456402619,0.643843136,0.738698439,0.418714245,21.1027773,13.74982627,15.5512828,5.088340114,0.914782883,0.861636542,0.899500104,0.671481932,0.819222824,0.761400753,0.7788742,0.635708115,0.428358184,0.578649258,0.653585648,0.424297211,0.414010523,0.616497926,0.717498032,0.418713286,22.4694632,13.45468356,18.90051817,5.087945207,5/7/15,83,132.15,21.863
3,NYH2,2,2,6,45,251,20.8,124.1499451,7/29/15,0.924042794,0.885013633,0.888986793,0.722331786,0.80454838,0.806869929,0.793716527,0.689320582,0.495884805,0.597839004,0.6708121,0.377292472,0.509488,0.639919735,0.747972419,0.36456983,25.33061554,16.39336624,17.01587443,6.20284101,0.943010871,0.895834636,0.920118012,0.722369361,0.821803205,0.811625908,0.797818462,0.689277206,0.497607828,0.586249745,0.677254611,0.377306733,0.499748625,0.625252558,0.74992612,0.363375734,34.09441262,18.20024002,24.03693309,6.20381585,5/7/15,83,128.72,22.037
4,NYH2,2,7,9,48,222,20.1,121.0443028,7/28/15,0.913443011,0.846077697,0.863474029,0.584007998,0.79659831,0.75696431,0.761219271,0.622659402,0.476576709,0.588623226,0.672792645,0.324213487,0.484435257,0.637662072,0.761239177,0.303673563,22.10616415,11.99356854,13.6492274,3.807784743,0.91908056,0.847821568,0.877133527,0.584054084,0.817235465,0.750576295,0.766510709,0.622659402,0.456580848,0.564737955,0.664657389,0.324233129,0.450434041,0.606528217,0.745180291,0.303690947,23.71593979,12.14246683,15.27783353,3.808317436,5/7/15,82,121.04,20.1
5,NYH2,2,8,9,77,182,17.3,98.31483053,7/27/15,0.85755306,0.861483637,0.854747926,0.691295834,0.761621381,0.804488694,0.790694806,0.646316869,0.377597205,0.527044582,0.596224193,0.132635926,0.369798024,0.545521869,0.639783983,0.116769941,13.04031563,13.43872731,12.76916657,5.478694561,0.829053019,0.859120449,0.849251207,0.872836594,0.753453703,0.797842593,0.7878963,0.688401335,0.313962229,0.459791815,0.524706313,0.114032193,0.294477722,0.463349406,0.535898479,0.09822085,10.69953391,13.19652449,12.26710454,14.72779513,5/7/15,81,98.315,17.3
6,NYH2,2,4,7,80,206,18.9,83.61457984,8/2/15,0.880753663,0.847466069,0.863708546,0.704539343,0.768000277,0.755471866,0.774379803,0.614978422,0.417907047,0.59542274,0.648639439,0.166419025,0.416725709,0.641272521,0.715921413,0.149046726,15.77200359,12.11183678,13.67443443,5.769090759,0.866223963,0.843241228,0.870515004,0.803913145,0.775446147,0.748055205,0.77444169,0.632961208,0.374844333,0.576194745,0.62896015,0.169069661,0.36042001,0.615488693,0.681585364,0.147945658,13.95036068,11.75845667,14.44580505,9.199561821,5/7/15,87,83.615,18.9
7,NYH2,2,10,10,46,237,21.4,126.5170505,7/26/15,0.931982442,0.876898418,0.892319366,0.657951001,0.822660639,0.802470951,0.803989255,0.663710471,0.510344899,0.599373209,0.681643518,0.385013491,0.525511653,0.645908642,0.766992153,0.373516001,28.40417246,15.24674489,17.5734419,4.847115492,0.955825154,0.884064062,0.915429167,0.657951001,0.847944251,0.806248161,0.814909526,0.663630977,0.51370698,0.588987911,0.683788767,0.385013491,0.519367892,0.633152853,0.76559849,0.372446009,44.27463458,16.25090626,22.64881518,4.847115492,5/7/15,80,126.52,21.4
8,NYH2,2,10,10,61,260,17.3,120.935942,7/26/15,0.927156433,0.863637744,0.880463676,0.485773466,0.810800106,0.785228412,0.792650007,0.604194943,0.505730005,0.598918115,0.679556532,0.250200767,0.520427878,0.643763793,0.763364089,0.224791097,26.45609647,13.66681515,15.73131598,2.889336446,0.944303014,0.866241505,0.897088476,0.485769051,0.830927072,0.784559334,0.801008895,0.604184648,0.507092745,0.583413274,0.67269903,0.250198981,0.512242398,0.623690473,0.748432813,0.224636068,34.90858601,13.95232137,18.43416954,2.889303051,5/7/15,80,120.94,17.3
9,NYH2,1,3,2,87,207,18.1,136.9985933,7/31/15,0.911235216,0.874141961,0.884168787,0.72643188,0.798296277,0.796176753,0.800539471,0.624385388,0.457367215,0.634633055,0.66554122,0.135914847,0.462667665,0.696940394,0.742566174,0.121199494,21.53145787,14.89091975,16.26650319,6.31079339,0.925413341,0.877857842,0.90264109,0.992989691,0.813084916,0.799020219,0.811111449,0.654265403,0.44632335,0.627593823,0.664227618,0.130492236,0.439821317,0.687571854,0.735274721,0.113663678,25.81444697,15.37436271,19.54254719,284.2941176,5/7/15,85,137,18.1
10,NYH2,2,10,10,67,242,16.7,166.5074555,7/26/15,0.933260492,0.861344316,0.884464619,0.559379924,0.847113622,0.790922768,0.804665434,0.603082313,0.468795592,0.61363206,0.684887191,0.14593827,0.472982919,0.669012604,0.774207948,0.128952964,28.96725709,13.4242194,16.31071453,3.539057812,0.973787023,0.864390317,0.907009574,0.553900527,0.894114536,0.793680384,0.821857788,0.607691598,0.467665418,0.611296539,0.693177183,0.143098543,0.46404658,0.666272247,0.783488024,0.12417574,75.29808661,13.74820943,20.50759046,3.483305008,5/7/15,80,166.51,16.7
11,NYH2,2,8,9,81,200,17.5,125.8511049,7/31/15,0.871221108,0.885731385,0.877849583,0.695789286,0.77808127,0.812567169,0.798062705,0.636590743,0.391846689,0.580197837,0.627259095,0.14464858,0.384669473,0.616418025,0.684447623,0.128158508,14.5304955,16.50261867,15.37325557,5.574390399,0.849847689,0.892981156,0.903761623,0.880932594,0.786728536,0.813344863,0.804253739,0.676797611,0.336702582,0.550017275,0.593048921,0.14222047,0.315143277,0.577696226,0.627695904,0.12357214,12.31980832,17.68829758,19.78173025,15.79720809,5/7/15,85,125.85,17.5
12,NYH2,2,1,6,77,207,19.6,95.58056075,8/2/15,0.744992881,0.827081826,0.776220325,0.76622018,0.67366635,0.758543871,0.722627521,0.669013069,0.3208602,0.519684795,0.532786295,0.17092465,0.309946315,0.540292385,0.560902076,0.153841455,6.842918312,10.56616423,7.937362179,7.555058359,0.649304975,0.799921648,0.687706916,0.945571708,0.561390283,0.726062285,0.61815597,0.730433438,0.220550581,0.451660896,0.388047018,0.179097909,0.205577661,0.456672662,0.385492973,0.158747555,4.702960855,8.996083943,5.404240449,35.74559535,5/7/15,87,95.581,19.6
13,NYH2,1,9,5,57,NA,NA,NA,NA,0.696368002,0.853880162,0.780059176,0.703748886,0.637515295,0.794430218,0.730012166,0.678656183,0.310796229,0.481451967,0.539253295,0.424016086,0.302753798,0.489093147,0.573245956,0.424597422,5.58692106,12.6873954,8.093355044,5.751029466,0.59361908,0.829349572,0.707928522,0.703764662,0.520594231,0.760202327,0.642707921,0.678682983,0.214021493,0.358009893,0.409096875,0.424023242,0.201655152,0.346534727,0.413221742,0.424514431,3.921490899,10.71986514,5.847638848,5.751388987,5/7/15,NA,NA,NA
